Pattern,Replacement
loro,(risa)
Loras,(risa)
schames,(risa)
Bardelli,(risa)
cupelli,(risa)
segal,(risa)
melcer,(risa)
quiroga,(risa)
Fede,(risa)
tío,(risa)
Loustau,(risa)
Arquiteto+,(risa)
Beliera,(risa)
Blanco,(risa)
Juancito,(risa)
Fuentes,(risa)
Scheerle,(risa)
Ure,(risa)
Luis,(risa)
Belle,(risa)
delca,(risa)
bellera,(risa)
bellera,(risa)
Bata+,(risa)
Basta+,(risa)
Señores,(risa)
Señore,(risa)
inadi+,(risa)
muchaches,(risa)
inadi+,(risa)
tal cual,confirmo que si
correcto,confirmo que si
olvidate,confirmo que si
exacto,confirmo que si
siempre,confirmo que si
Obvio,confirmo que si
Olvídate,confirmo que si
si claro,confirmo que si
no,confirmo que no
Nu+,confirmo que no
nop+,confirmo que no
negativo,confirmo que no
Vamos carajo,me gustó eso
muy bueno,me gustó eso
brillante,me gustó eso
hermoso,me gustó eso
extraordinario,me gustó eso
Buenísimo,me gustó eso
Vamos,me gustó eso
vamo+,me gustó eso
Increíble,me gustó eso
interesante,me gustó eso
excelente,me gustó eso
sutil,me gustó eso
Ordinaire,me gustó eso
Brillante¡,me gustó eso
bien ahi,me gusta eso
que bueno,me gusta eso
impecable,me gusta eso
que grande,me gusta eso
partidazo,me gustó eso
hermosa,me gustó eso
genio,me gusta eso
un cra+,me gusta eso
un genio+,me gusta eso
Casi,no estoy de acuerdo
Dale,no estoy de acuerdo
fake,no estoy de acuerdo
Bue+,no estoy de acuerdo
lo sé,no estoy seguro
anda+,no estoy de acuerdo
déjate de joder,no estoy de acuerdo
a ver,no estoy de acuerdo
no creo,no estoy de acuerdo
no comparto,no estoy de acuerdo
puto,no estoy de acuerdo 
jamas,no estoy de acuerdo
m+,no estoy de acuerdo
ponele,no estoy de acuerdo
ah bue+,no estoy de acuerdo
a dar por culo,no estoy de acuerdo
never,no estoy de acuerdo
Tks,gracias
gracias+,gracias
totalmente,estoy de acuerdo
muy bien,estoy de acuerdo
coincido,estoy de acuerdo
Bien,estoy de acuerdo
Claro,estoy de acuerdo
Si eh,estoy de acuerdo
Si señor,estoy de acuerdo
Exactamente,estoy de acuerdo
Puede ser,estoy de acuerdo
Es cierto,estoy de acuerdo
Un crack,estoy de acuerdo
así es,estoy de acuerdo
algo asi,estoy de acuerdo
clarisimo,estoy de acuerdo
si claro,estoy de acuerdo
literal,estoy de acuerdo
total,estoy de acuerdo
buenisimo,estoy de acuerdo
ni hablar,estoy de acuerdo
por eso,estoy de acuerdo
pero cla+,estoy de acuerdo
Exacto.+,estoy de acuerdo
Ojala|Ojalá,estoy de acuerdo
cla+,estoy de acuerdo
minimo|mínimo,estoy de acuerdo
pero cla,estoy de acuerdo
oki,estoy de acuerdo
eh+,me sorprende
Uh+,me sorprende
Mamita,me sorprende
Bueh+,me sorprende
Ah+,me sorprende
Na+,me sorprende
Genial,me sorprende
Sublime,me sorprende
Q bueno+,me sorprende
Bueno,me sorprende
uf+,me sorprende
de salón,me sorprende
loro dixit,me sorprende
Joder,me sorprende
que increíble,me sorprende
no me jodas,me sorprende
raro,me sorprende
a la mierda,me sorprende
tremendo,me sorprende
sos un hdp,me sorprende
jodido,me sorprende
diosanto,me sorprende
tremenda,me sorprende
que quilombo,no me gusta eso
La puta madre,no me gusta eso
LPM,no me gusta eso
Que asco,no me gusta eso
una locura,no me gusta eso
Repetido,no me gusta eso
cerdo,no me gusta eso
es joda,no me gusta eso
no comments,no me gusta eso
añañai,no me gusta eso
mal,no me gusta eso
mamadera,no me gusta eso
malísimo,no me gustó eso
que asquerosoa,no me gustó eso
que hijo de puta,no me gustó eso
que lo pario,no me gustó eso
que putada,no me gusta eso
que desastre,no me gusta eso
sep+,si
Si,si
si re,si
si+,si
Sip+,si
hecho,
mundo,
todos,
marikon,
grados,
a+,
palos,
o fiscal,
sera,
pbi,
opa+,
jeinzmaciascom,
re,
y eso,
y,
 puntos,
nada,
hdp,
chau,
bomba,
el,
ubicación,
patane,
mamadera,
pato,
 años,
n,
flaan,
pas trop,
patane,
duhau,
true,
riber,
n,
dde es,adonde
sorry,perdón
bye,me despido
